tran_id,store_id,member_id,tran_dt
2020-04-15T19:57:01.672998_38,3,1134,2019-01-05
2020-04-15T19:57:01.672998_38_1,3,1134,2020-01-05
2020-04-15T19:57:01.672998_38_2,3,1134,2021-01-05
2020-04-15T19:57:01.672998_39,3,1371,2019-01-05
2020-04-15T19:57:01.672998_39_1,3,1371,2020-01-05
2020-04-15T19:57:01.672998_39_2,3,1371,2021-01-05
2020-04-15T19:57:01.672998_40,2,1292,2019-01-05
2020-04-15T19:57:01.672998_40_1,2,1292,2020-01-05
2020-04-15T19:57:01.672998_40_2,2,1292,2021-01-05
2020-04-15T19:57:01.672998_41,3,1282,2019-01-05
2020-04-15T19:57:01.672998_41_1,3,1282,2020-01-05
2020-04-15T19:57:01.672998_41_2,3,1282,2021-01-05
2020-04-15T19:57:01.672998_42,3,1549,2019-01-05
2020-04-15T19:57:01.672998_42_1,3,1549,2020-01-05
2020-04-15T19:57:01.672998_42_2,3,1549,2021-01-05
2020-04-15T19:57:01.672998_43,1,1010,2019-01-05
2020-04-15T19:57:01.672998_43_1,1,1010,2020-01-05
2020-04-15T19:57:01.672998_43_2,1,1010,2021-01-05
2020-04-15T19:57:01.672998_44,1,1142,2019-01-05
2020-04-15T19:57:01.672998_44_1,1,1142,2020-01-05
2020-04-15T19:57:01.672998_44_2,1,1142,2021-01-05
2020-04-15T19:57:01.672998_45,3,1134,2019-01-05
2020-04-15T19:57:01.672998_45_1,3,1134,2020-01-05
2020-04-15T19:57:01.672998_45_2,3,1134,2021-01-05
2020-04-15T19:57:01.672998_46,3,1372,2019-01-05
2020-04-15T19:57:01.672998_46_1,3,1372,2020-01-05
2020-04-15T19:57:01.672998_46_2,3,1372,2021-01-05
2020-04-15T19:57:01.672998_47,1,1992,2019-01-05
2020-04-15T19:57:01.672998_47_1,1,1992,2020-01-05
2020-04-15T19:57:01.672998_47_2,1,1992,2021-01-05
2020-04-15T19:57:01.672998_48,1,1701,2019-01-05
2020-04-15T19:57:01.672998_48_1,1,1701,2020-01-05
2020-04-15T19:57:01.672998_48_2,1,1701,2021-01-05
2020-04-15T19:57:01.672998_49,2,1292,2019-01-05
2020-04-15T19:57:01.672998_49_1,2,1292,2020-01-05
2020-04-15T19:57:01.672998_49_2,2,1292,2021-01-05
2020-04-15T19:57:01.672998_50,3,1010,2019-01-05
2020-04-15T19:57:01.672998_50_1,3,1010,2020-01-05
2020-04-15T19:57:01.672998_50_2,3,1010,2021-01-05
2020-04-15T19:57:01.672998_51,2,1884,2019-01-05
2020-04-15T19:57:01.672998_51_1,2,1884,2020-01-05
2020-04-15T19:57:01.672998_51_2,2,1884,2021-01-05
2020-04-15T19:57:01.672998_52,3,1625,2019-01-05
2020-04-15T19:57:01.672998_52_1,3,1625,2020-01-05
2020-04-15T19:57:01.672998_52_2,3,1625,2021-01-05
2020-04-15T19:57:01.672998_53,3,1549,2019-01-05
2020-04-15T19:57:01.672998_53_1,3,1549,2020-01-05
2020-04-15T19:57:01.672998_53_2,3,1549,2021-01-05
2020-04-15T19:57:01.672998_54,3,1232,2019-01-05
2020-04-15T19:57:01.672998_54_1,3,1232,2020-01-05
2020-04-15T19:57:01.672998_54_2,3,1232,2021-01-05
2020-04-15T19:57:01.672998_55,3,1855,2019-01-05
2020-04-15T19:57:01.672998_55_1,3,1855,2020-01-05
2020-04-15T19:57:01.672998_55_2,3,1855,2021-01-05
2020-04-15T19:57:01.672998_56,1,1923,2019-01-05
2020-04-15T19:57:01.672998_56_1,1,1923,2020-01-05
2020-04-15T19:57:01.672998_56_2,1,1923,2021-01-05
2020-04-15T19:57:01.672998_57,3,1925,2019-01-05
2020-04-15T19:57:01.672998_57_1,3,1925,2020-01-05
2020-04-15T19:57:01.672998_57_2,3,1925,2021-01-05
2020-04-15T19:57:01.672998_58,3,1489,2019-01-05
2020-04-15T19:57:01.672998_58_1,3,1489,2020-01-05
2020-04-15T19:57:01.672998_58_2,3,1489,2021-01-05
2020-04-15T19:57:01.672998_59,2,1568,2019-01-05
2020-04-15T19:57:01.672998_59_1,2,1568,2020-01-05
2020-04-15T19:57:01.672998_59_2,2,1568,2021-01-05
2020-04-15T19:57:01.672998_60,1,1520,2019-01-06
2020-04-15T19:57:01.672998_60_1,1,1520,2020-01-06
2020-04-15T19:57:01.672998_60_2,1,1520,2021-01-06
2020-04-15T19:57:01.672998_61,3,1366,2019-01-06
2020-04-15T19:57:01.672998_61_1,3,1366,2020-01-06
2020-04-15T19:57:01.672998_61_2,3,1366,2021-01-06
2020-04-15T19:57:01.672998_62,3,1884,2019-01-06
2020-04-15T19:57:01.672998_62_1,3,1884,2020-01-06
2020-04-15T19:57:01.672998_62_2,3,1884,2021-01-06
2020-04-15T19:57:01.672998_63,3,1997,2019-01-06
2020-04-15T19:57:01.672998_63_1,3,1997,2020-01-06
2020-04-15T19:57:01.672998_63_2,3,1997,2021-01-06
2020-04-15T19:57:01.672998_64,2,1164,2019-01-06
2020-04-15T19:57:01.672998_64_1,2,1164,2020-01-06
2020-04-15T19:57:01.672998_64_2,2,1164,2021-01-06
2020-04-15T19:57:01.672998_65,2,1366,2019-01-06
2020-04-15T19:57:01.672998_65_1,2,1366,2020-01-06
2020-04-15T19:57:01.672998_65_2,2,1366,2021-01-06
2020-04-15T19:57:01.672998_66,1,1292,2019-01-06
2020-04-15T19:57:01.672998_66_1,1,1292,2020-01-06
2020-04-15T19:57:01.672998_66_2,1,1292,2021-01-06
2020-04-15T19:57:01.672998_67,2,1923,2019-01-06
2020-04-15T19:57:01.672998_67_1,2,1923,2020-01-06
2020-04-15T19:57:01.672998_67_2,2,1923,2021-01-06
2020-04-15T19:57:01.672998_68,1,1765,2019-01-06
2020-04-15T19:57:01.672998_68_1,1,1765,2020-01-06
2020-04-15T19:57:01.672998_68_2,1,1765,2021-01-06
2020-04-15T19:57:01.672998_69,1,1487,2019-01-06
2020-04-15T19:57:01.672998_69_1,1,1487,2020-01-06
2020-04-15T19:57:01.672998_69_2,1,1487,2021-01-06
2020-04-15T19:57:01.672998_70,1,1452,2019-01-06
2020-04-15T19:57:01.672998_70_1,1,1452,2020-01-06
2020-04-15T19:57:01.672998_70_2,1,1452,2021-01-06
2020-04-15T19:57:01.672998_71,1,1972,2019-01-06
2020-04-15T19:57:01.672998_71_1,1,1972,2020-01-06
2020-04-15T19:57:01.672998_71_2,1,1972,2021-01-06
2020-04-15T19:57:01.672998_72,3,1013,2019-01-06
2020-04-15T19:57:01.672998_72_1,3,1013,2020-01-06
2020-04-15T19:57:01.672998_72_2,3,1013,2021-01-06
2020-04-15T19:57:01.672998_73,1,1085,2019-01-06
2020-04-15T19:57:01.672998_73_1,1,1085,2020-01-06
2020-04-15T19:57:01.672998_73_2,1,1085,2021-01-06
2020-04-15T19:57:01.672998_74,1,1031,2019-01-06
2020-04-15T19:57:01.672998_74_1,1,1031,2020-01-06
2020-04-15T19:57:01.672998_74_2,1,1031,2021-01-06
2020-04-15T19:57:01.672998_75,2,1331,2019-01-06
2020-04-15T19:57:01.672998_75_1,2,1331,2020-01-06
2020-04-15T19:57:01.672998_75_2,2,1331,2021-01-06
2020-04-15T19:57:01.672998_76,1,1568,2019-01-06
2020-04-15T19:57:01.672998_76_1,1,1568,2020-01-06
2020-04-15T19:57:01.672998_76_2,1,1568,2021-01-06
2020-04-15T19:57:01.672998_77,3,1660,2019-01-06
2020-04-15T19:57:01.672998_77_1,3,1660,2020-01-06
2020-04-15T19:57:01.672998_77_2,3,1660,2021-01-06
2020-04-15T19:57:01.672998_78,1,1277,2019-01-06
2020-04-15T19:57:01.672998_78_1,1,1277,2020-01-06
2020-04-15T19:57:01.672998_78_2,1,1277,2021-01-06
2020-04-15T19:57:01.672998_79,3,1884,2019-01-06
2020-04-15T19:57:01.672998_79_1,3,1884,2020-01-06
2020-04-15T19:57:01.672998_79_2,3,1884,2021-01-06
2020-04-15T19:57:01.672998_80,2,1277,2019-01-06
2020-04-15T19:57:01.672998_80_1,2,1277,2020-01-06
2020-04-15T19:57:01.672998_80_2,2,1277,2021-01-06
2020-04-15T19:57:01.672998_81,3,1061,2019-01-06
2020-04-15T19:57:01.672998_81_1,3,1061,2020-01-06
2020-04-15T19:57:01.672998_81_2,3,1061,2021-01-06
2020-04-15T19:57:01.672998_82,3,1385,2019-01-06
2020-04-15T19:57:01.672998_82_1,3,1385,2020-01-06
2020-04-15T19:57:01.672998_82_2,3,1385,2021-01-06
2020-04-15T19:57:01.672998_83,3,1234,2019-01-07
2020-04-15T19:57:01.672998_83_1,3,1234,2020-01-07
2020-04-15T19:57:01.672998_83_2,3,1234,2021-01-07
2020-04-15T19:57:01.672998_84,2,1660,2019-01-07
2020-04-15T19:57:01.672998_84_1,2,1660,2020-01-07
2020-04-15T19:57:01.672998_84_2,2,1660,2021-01-07
2020-04-15T19:57:01.673997_100,3,1636,2019-01-08
2020-04-15T19:57:01.673997_100_1,3,1636,2020-01-08
2020-04-15T19:57:01.673997_100_2,3,1636,2021-01-08
2020-04-15T19:57:01.673997_101,3,1589,2019-01-08
2020-04-15T19:57:01.673997_101_1,3,1589,2020-01-08
2020-04-15T19:57:01.673997_101_2,3,1589,2021-01-08
2020-04-15T19:57:01.673997_102,3,1282,2019-01-09
2020-04-15T19:57:01.673997_102_1,3,1282,2020-01-09
2020-04-15T19:57:01.673997_102_2,3,1282,2021-01-09
2020-04-15T19:57:01.673997_103,2,1967,2019-01-09
2020-04-15T19:57:01.673997_103_1,2,1967,2020-01-09
2020-04-15T19:57:01.673997_103_2,2,1967,2021-01-09
2020-04-15T19:57:01.673997_104,3,1310,2019-01-09
2020-04-15T19:57:01.673997_104_1,3,1310,2020-01-09
2020-04-15T19:57:01.673997_104_2,3,1310,2021-01-09
2020-04-15T19:57:01.673997_105,1,1200,2019-01-09
2020-04-15T19:57:01.673997_105_1,1,1200,2020-01-09
2020-04-15T19:57:01.673997_105_2,1,1200,2021-01-09
2020-04-15T19:57:01.673997_106,1,1207,2019-01-09
2020-04-15T19:57:01.673997_106_1,1,1207,2020-01-09
2020-04-15T19:57:01.673997_106_2,1,1207,2021-01-09
2020-04-15T19:57:01.673997_107,2,1361,2019-01-09
2020-04-15T19:57:01.673997_107_1,2,1361,2020-01-09
2020-04-15T19:57:01.673997_107_2,2,1361,2021-01-09
2020-04-15T19:57:01.673997_108,1,1272,2019-01-09
2020-04-15T19:57:01.673997_108_1,1,1272,2020-01-09
2020-04-15T19:57:01.673997_108_2,1,1272,2021-01-09
2020-04-15T19:57:01.673997_109,2,1795,2019-01-09
2020-04-15T19:57:01.673997_109_1,2,1795,2020-01-09
2020-04-15T19:57:01.673997_109_2,2,1795,2021-01-09
2020-04-15T19:57:01.673997_110,3,1074,2019-01-09
2020-04-15T19:57:01.673997_110_1,3,1074,2020-01-09
2020-04-15T19:57:01.673997_110_2,3,1074,2021-01-09
2020-04-15T19:57:01.673997_111,3,1928,2019-01-09
2020-04-15T19:57:01.673997_111_1,3,1928,2020-01-09
2020-04-15T19:57:01.673997_111_2,3,1928,2021-01-09
2020-04-15T19:57:01.673997_112,3,1886,2019-01-10
2020-04-15T19:57:01.673997_112_1,3,1886,2020-01-10
2020-04-15T19:57:01.673997_112_2,3,1886,2021-01-10
2020-04-15T19:57:01.673997_113,3,1367,2019-01-10
2020-04-15T19:57:01.673997_113_1,3,1367,2020-01-10
2020-04-15T19:57:01.673997_113_2,3,1367,2021-01-10
2020-04-15T19:57:01.673997_114,1,1422,2019-01-10
2020-04-15T19:57:01.673997_114_1,1,1422,2020-01-10
2020-04-15T19:57:01.673997_114_2,1,1422,2021-01-10
2020-04-15T19:57:01.673997_115,3,1454,2019-01-10
2020-04-15T19:57:01.673997_115_1,3,1454,2020-01-10
2020-04-15T19:57:01.673997_115_2,3,1454,2021-01-10
2020-04-15T19:57:01.673997_116,1,1475,2019-01-10
2020-04-15T19:57:01.673997_116_1,1,1475,2020-01-10
2020-04-15T19:57:01.673997_116_2,1,1475,2021-01-10
2020-04-15T19:57:01.673997_117,1,1675,2019-01-10
2020-04-15T19:57:01.673997_117_1,1,1675,2020-01-10
2020-04-15T19:57:01.673997_117_2,1,1675,2021-01-10
2020-04-15T19:57:01.673997_118,2,1331,2019-01-10
2020-04-15T19:57:01.673997_118_1,2,1331,2020-01-10
2020-04-15T19:57:01.673997_118_2,2,1331,2021-01-10
2020-04-15T19:57:01.673997_119,2,1706,2019-01-11
2020-04-15T19:57:01.673997_119_1,2,1706,2020-01-11
2020-04-15T19:57:01.673997_119_2,2,1706,2021-01-11
2020-04-15T19:57:01.673997_120,1,1898,2019-01-11
2020-04-15T19:57:01.673997_120_1,1,1898,2020-01-11
2020-04-15T19:57:01.673997_120_2,1,1898,2021-01-11
2020-04-15T19:57:01.673997_121,3,1765,2019-01-11
2020-04-15T19:57:01.673997_121_1,3,1765,2020-01-11
2020-04-15T19:57:01.673997_121_2,3,1765,2021-01-11
2020-04-15T19:57:01.673997_122,1,1372,2019-01-11
2020-04-15T19:57:01.673997_122_1,1,1372,2020-01-11
2020-04-15T19:57:01.673997_122_2,1,1372,2021-01-11
2020-04-15T19:57:01.673997_123,2,1513,2019-01-11
2020-04-15T19:57:01.673997_123_1,2,1513,2020-01-11
2020-04-15T19:57:01.673997_123_2,2,1513,2021-01-11
2020-04-15T19:57:01.673997_124,3,1972,2019-01-11
2020-04-15T19:57:01.673997_124_1,3,1972,2020-01-11
2020-04-15T19:57:01.673997_124_2,3,1972,2021-01-11
2020-04-15T19:57:01.673997_125,3,1346,2019-01-11
2020-04-15T19:57:01.673997_125_1,3,1346,2020-01-11
2020-04-15T19:57:01.673997_125_2,3,1346,2021-01-11
2020-04-15T19:57:01.673997_126,2,1385,2019-01-11
2020-04-15T19:57:01.673997_126_1,2,1385,2020-01-11
2020-04-15T19:57:01.673997_126_2,2,1385,2021-01-11
2020-04-15T19:57:01.673997_127,3,1856,2019-01-12
2020-04-15T19:57:01.673997_127_1,3,1856,2020-01-12
2020-04-15T19:57:01.673997_127_2,3,1856,2021-01-12
2020-04-15T19:57:01.673997_128,2,1087,2019-01-12
2020-04-15T19:57:01.673997_128_1,2,1087,2020-01-12
2020-04-15T19:57:01.673997_128_2,2,1087,2021-01-12
2020-04-15T19:57:01.673997_129,2,1413,2019-01-12
2020-04-15T19:57:01.673997_129_1,2,1413,2020-01-12
2020-04-15T19:57:01.673997_129_2,2,1413,2021-01-12
2020-04-15T19:57:01.673997_130,2,1798,2019-01-12
2020-04-15T19:57:01.673997_130_1,2,1798,2020-01-12
2020-04-15T19:57:01.673997_130_2,2,1798,2021-01-12
2020-04-15T19:57:01.673997_131,3,1706,2019-01-12
2020-04-15T19:57:01.673997_131_1,3,1706,2020-01-12
2020-04-15T19:57:01.673997_131_2,3,1706,2021-01-12
2020-04-15T19:57:01.673997_132,1,1540,2019-01-12
2020-04-15T19:57:01.673997_132_1,1,1540,2020-01-12
2020-04-15T19:57:01.673997_132_2,1,1540,2021-01-12
2020-04-15T19:57:01.673997_133,2,1085,2019-01-12
2020-04-15T19:57:01.673997_133_1,2,1085,2020-01-12
2020-04-15T19:57:01.673997_133_2,2,1085,2021-01-12
2020-04-15T19:57:01.673997_134,3,1568,2019-01-12
2020-04-15T19:57:01.673997_134_1,3,1568,2020-01-12
2020-04-15T19:57:01.673997_134_2,3,1568,2021-01-12
2020-04-15T19:57:01.673997_135,1,1222,2019-01-12
2020-04-15T19:57:01.673997_135_1,1,1222,2020-01-12
2020-04-15T19:57:01.673997_135_2,1,1222,2021-01-12
2020-04-15T19:57:01.673997_136,2,1967,2019-01-12
2020-04-15T19:57:01.673997_136_1,2,1967,2020-01-12
2020-04-15T19:57:01.673997_136_2,2,1967,2021-01-12
2020-04-15T19:57:01.673997_137,2,1923,2019-01-12
2020-04-15T19:57:01.673997_137_1,2,1923,2020-01-12
2020-04-15T19:57:01.673997_137_2,2,1923,2021-01-12
2020-04-15T19:57:01.673997_138,1,1251,2019-01-12
2020-04-15T19:57:01.673997_138_1,1,1251,2020-01-12
2020-04-15T19:57:01.673997_138_2,1,1251,2021-01-12
2020-04-15T19:57:01.673997_139,2,1884,2019-01-12
2020-04-15T19:57:01.673997_139_1,2,1884,2020-01-12
2020-04-15T19:57:01.673997_139_2,2,1884,2021-01-12
2020-04-15T19:57:01.673997_140,3,1335,2019-01-12
2020-04-15T19:57:01.673997_140_1,3,1335,2020-01-12
2020-04-15T19:57:01.673997_140_2,3,1335,2021-01-12
2020-04-15T19:57:01.673997_141,3,1310,2019-01-12
2020-04-15T19:57:01.673997_141_1,3,1310,2020-01-12
2020-04-15T19:57:01.673997_141_2,3,1310,2021-01-12
2020-04-15T19:57:01.673997_142,1,1234,2019-01-12
2020-04-15T19:57:01.673997_142_1,1,1234,2020-01-12
2020-04-15T19:57:01.673997_142_2,1,1234,2021-01-12
2020-04-15T19:57:01.673997_143,1,1331,2019-01-12
2020-04-15T19:57:01.673997_143_1,1,1331,2020-01-12
2020-04-15T19:57:01.673997_143_2,1,1331,2021-01-12
2020-04-15T19:57:01.673997_144,1,1385,2019-01-12
2020-04-15T19:57:01.673997_144_1,1,1385,2020-01-12
2020-04-15T19:57:01.673997_144_2,1,1385,2021-01-12
2020-04-15T19:57:01.673997_145,1,1684,2019-01-12
2020-04-15T19:57:01.673997_145_1,1,1684,2020-01-12
2020-04-15T19:57:01.673997_145_2,1,1684,2021-01-12
2020-04-15T19:57:01.673997_146,1,1568,2019-01-12
2020-04-15T19:57:01.673997_146_1,1,1568,2020-01-12
2020-04-15T19:57:01.673997_146_2,1,1568,2021-01-12
2020-04-15T19:57:01.673997_147,2,1368,2019-01-12
2020-04-15T19:57:01.673997_147_1,2,1368,2020-01-12
2020-04-15T19:57:01.673997_147_2,2,1368,2021-01-12
2020-04-15T19:57:01.673997_148,3,1942,2019-01-12
2020-04-15T19:57:01.673997_148_1,3,1942,2020-01-12
2020-04-15T19:57:01.673997_148_2,3,1942,2021-01-12
2020-04-15T19:57:01.673997_149,2,1250,2019-01-12
2020-04-15T19:57:01.673997_149_1,2,1250,2020-01-12
2020-04-15T19:57:01.673997_149_2,2,1250,2021-01-12
2020-04-15T19:57:01.673997_150,2,1414,2019-01-13
2020-04-15T19:57:01.673997_150_1,2,1414,2020-01-13
2020-04-15T19:57:01.673997_150_2,2,1414,2021-01-13
2020-04-15T19:57:01.673997_151,1,1798,2019-01-13
2020-04-15T19:57:01.673997_151_1,1,1798,2020-01-13
2020-04-15T19:57:01.673997_151_2,1,1798,2021-01-13
2020-04-15T19:57:01.673997_152,3,1549,2019-01-13
2020-04-15T19:57:01.673997_152_1,3,1549,2020-01-13
2020-04-15T19:57:01.673997_152_2,3,1549,2021-01-13
2020-04-15T19:57:01.673997_153,3,1923,2019-01-13
2020-04-15T19:57:01.673997_153_1,3,1923,2020-01-13
2020-04-15T19:57:01.673997_153_2,3,1923,2021-01-13
2020-04-15T19:57:01.673997_154,1,1942,2019-01-13
2020-04-15T19:57:01.673997_154_1,1,1942,2020-01-13
2020-04-15T19:57:01.673997_154_2,1,1942,2021-01-13
2020-04-15T19:57:01.673997_155,3,1568,2019-01-13
2020-04-15T19:57:01.673997_155_1,3,1568,2020-01-13
2020-04-15T19:57:01.673997_155_2,3,1568,2021-01-13
2020-04-15T19:57:01.673997_156,2,1234,2019-01-13
2020-04-15T19:57:01.673997_156_1,2,1234,2020-01-13
2020-04-15T19:57:01.673997_156_2,2,1234,2021-01-13
2020-04-15T19:57:01.673997_157,1,1366,2019-01-13
2020-04-15T19:57:01.673997_157_1,1,1366,2020-01-13
2020-04-15T19:57:01.673997_157_2,1,1366,2021-01-13
2020-04-15T19:57:01.673997_158,3,1798,2019-01-13
2020-04-15T19:57:01.673997_158_1,3,1798,2020-01-13
2020-04-15T19:57:01.673997_158_2,3,1798,2021-01-13
2020-04-15T19:57:01.673997_85,3,1289,2019-01-07
2020-04-15T19:57:01.673997_85_1,3,1289,2020-01-07
2020-04-15T19:57:01.673997_85_2,3,1289,2021-01-07
2020-04-15T19:57:01.673997_86,2,1277,2019-01-07
2020-04-15T19:57:01.673997_86_1,2,1277,2020-01-07
2020-04-15T19:57:01.673997_86_2,2,1277,2021-01-07
2020-04-15T19:57:01.673997_87,2,1452,2019-01-07
2020-04-15T19:57:01.673997_87_1,2,1452,2020-01-07
2020-04-15T19:57:01.673997_87_2,2,1452,2021-01-07
2020-04-15T19:57:01.673997_88,1,1194,2019-01-07
2020-04-15T19:57:01.673997_88_1,1,1194,2020-01-07
2020-04-15T19:57:01.673997_88_2,1,1194,2021-01-07
2020-04-15T19:57:01.673997_89,3,1100,2019-01-07
